',-17.9126487477
/-,-7.01930406634
/+,-8.06949523421
/b,-7.37656051448
b,-4.55156457666
bh,-6.09379862275
ii,-4.39095906615
/c,-8.71945453456
/k,-10.5874997898
/n,-5.82758621425
n,-2.84399500782
nx,-4.87864019477
e,-3.65129662635
/d,-8.25352838294
/dx,-5.83526779648
d,-5.49371725761
dx,-3.69133647163
dxh,-5.52109288204
/g,-6.83588989572
g,-4.11890947357
gh,-8.35595653211
j,-5.48860590964
/j,-15.7154241704
a,-1.45119845544
aa,-3.16184318839
ae,-3.91659821903
aee,-6.52526383023
ee,-3.90836995749
i,-2.73226922189
ai,-8.32592884852
au,-7.91462404135
c,-6.07564901284
ch,-7.95216668365
k,-3.17128175543
kh,-8.28808176195
s,-3.48422052597
cx,-8.26398893075
dh,-10.4596664182
f,-8.78081060388
ph,-8.91760777302
h,-3.8680833446
hx,-11.9646137585
y,-3.09371462159
v,-3.0273239461
jh,-11.7989665679
l,-3.9018888908
lx,-5.08460542549
lxx,-16.814036459
lxxx,-17.9126487477
m,-3.22475504126
o,-4.56687305511
oo,-5.48170204904
uu,-5.55069263877
p,-3.78607460772
r,-3.29546894648
rx,-10.712970402
rxx,-13.4017892412
sh,-5.80769562358
sx,-5.41603561888
t,-4.03426292605
th,-8.16710238324
tx,-3.24613335155
txh,-6.3844899021
u,-3.34724165122
